Time,Protocol,Average Delay (s),Loss Rate (%),Average Load
139.0,V2I,0.0,100.0,0.0
140.0,V2V,0.0,100.0,0.0
140.0,V2I,0.0,100.0,0.0
141.0,V2V,0.0,100.0,0.0
141.0,V2I,0.0,100.0,0.0
142.0,V2V,0.0,100.0,0.0
142.0,V2I,0.0,100.0,0.0
143.0,V2V,0.0,100.0,0.0
143.0,V2I,0.0,100.0,0.0
144.0,V2V,0.0,100.0,0.0
144.0,V2I,0.0,100.0,0.0
145.0,V2V,0.0,100.0,0.0
145.0,V2I,0.0,100.0,0.0
146.0,V2V,0.0,100.0,0.0
146.0,V2I,0.0,100.0,0.0
147.0,V2V,0.0,100.0,0.0
147.0,V2I,0.0,100.0,0.0
148.0,V2V,0.0,100.0,0.0
148.0,V2I,0.0,100.0,0.0
149.0,V2V,0.0,100.0,0.0
149.0,V2I,0.0,100.0,0.0
150.0,V2V,0.0,100.0,0.0
150.0,V2I,0.0,100.0,0.0
151.0,V2V,0.0,100.0,0.0
151.0,V2I,0.0,100.0,0.0
152.0,V2V,0.0,100.0,0.0
152.0,V2I,0.0,100.0,0.0
153.0,V2V,0.0,100.0,0.0
153.0,V2I,0.0,100.0,0.0
