Time,Protocol,Average Delay (s),Loss Rate (%),Average Load,Average Distance,Reachability Rate (%),MAB Selection Rate (%)
71.0,V2V,0.1,0.0,1.0,1.5400324671902277,100.0,71.96969696969697
71.0,V2I,0.75,0.0,1.0,13.345096477732934,100.0,28.030303030303028
72.0,V2V,0.1,0.0,1.0,2.43801225103362,100.0,72.38805970149254
73.0,V2I,0.5,0.0,1.0,48.00890697681315,100.0,28.676470588235293
74.0,V2V,0.1,0.0,1.0,5.4419429464123965,100.0,71.73913043478261
75.0,V2V,0.125,0.0,1.0,6.001344582967546,100.0,72.14285714285714
76.0,V2V,0.1,0.0,1.0,2.16,100.0,71.83098591549296
76.0,V2I,0.5,0.0,1.0,46.30619181059915,100.0,28.169014084507044
77.0,V2V,0.1,0.0,1.0,1.8299999999999983,100.0,71.52777777777779
77.0,V2I,0.5,0.0,1.0,32.38927291558117,100.0,28.47222222222222
78.0,V2V,0.1,0.0,1.0,1.5499999999999972,100.0,71.23287671232876
78.0,V2I,0.5,0.0,1.0,19.71570186425023,100.0,28.767123287671232
79.0,V2I,0.5,0.0,1.0,29.89485690336481,100.0,29.72972972972973
80.0,V2V,0.1,0.0,1.0,0.7100000000000009,100.0,70.0
80.0,V2I,0.5,0.0,1.0,6.456903282534129,100.0,30.0
81.0,V2V,0.1,0.0,1.0,0.08000000000000007,100.0,69.73684210526315
81.0,V2I,0.75,0.0,1.0,59.09064562179026,100.0,30.263157894736842
82.0,V2V,0.15000000000000002,0.0,1.0,0.14500000000000046,100.0,70.12987012987013
83.0,V2V,0.1,0.0,1.0,0.09499999999999886,100.0,70.51282051282051
84.0,V2V,0.1,0.0,1.0,0.28000000000000114,100.0,70.88607594936708
85.0,V2V,0.1,0.0,1.0,0.24500000000000455,100.0,71.25
86.0,V2V,0.0,100.0,1.0,0.9500000000000028,100.0,70.98765432098766
86.0,V2I,0.5,0.0,1.0,5.1244511901275835,100.0,29.01234567901235
87.0,V2I,0.5,0.0,1.0,47.67191871270214,100.0,29.878048780487802
88.0,V2V,0.1,0.0,1.0,0.48166378315169134,100.0,69.87951807228916
88.0,V2I,0.5,0.0,1.0,95.17686115858203,100.0,30.120481927710845
89.0,V2V,0.1,0.0,1.0,1.9500000000000028,100.0,69.64285714285714
89.0,V2I,0.0,100.0,1.0,5.86809168299201,100.0,30.357142857142854
90.0,V2V,0.1,0.0,1.0,3.3117033251611794,100.0,70.0
91.0,V2V,0.1,0.0,1.0,3.689068599280539,100.0,70.34883720930233
92.0,V2V,0.1,0.0,1.0,4.399450978459085,100.0,70.6896551724138
93.0,V2V,0.1,0.0,1.0,3.0636661922551736,100.0,71.02272727272727
94.0,V2V,0.1,0.0,1.0,3.2041223447302967,100.0,70.78651685393258
94.0,V2I,0.5,0.0,1.0,52.8618851347547,100.0,29.213483146067414
95.0,V2V,0.1,0.0,1.0,2.9449999999999985,100.0,71.11111111111111
96.0,V2V,0.1,0.0,1.0,2.1008569680013918,100.0,70.87912087912088
96.0,V2I,0.5,0.0,1.0,62.74158429622255,100.0,29.120879120879124
97.0,V2V,0.1,50.0,1.0,3.693261381160046,100.0,71.19565217391305
98.0,V2V,0.1,0.0,1.0,4.08166632639171,100.0,70.96774193548387
98.0,V2I,0.5,0.0,1.0,90.10205103103924,100.0,29.03225806451613
99.0,V2V,0.1,0.0,1.0,1.3399999999999963,100.0,70.74468085106383
99.0,V2I,0.5,0.0,1.0,77.54068673928546,100.0,29.25531914893617
100.0,V2V,0.1,0.0,1.0,1.050761628534274,100.0,71.05263157894737
101.0,V2V,0.125,0.0,1.0,1.1850119046944234,100.0,71.20418848167539
102.0,V2V,0.1,0.0,1.0,1.516232183435611,100.0,71.50259067357513
103.0,V2V,0.1,0.0,1.0,1.94475115548645,100.0,71.7948717948718
104.0,V2V,0.1,0.0,1.0,2.700000000000003,100.0,71.57360406091371
